4 3 2 1 | 1
5 4 3 2 1 | 2
11 38 23 55 32 45 51 77 27 3 89 64 7 90 81 73 87 | 2
25 76 38 15 66 16 46 57 51 50 35 98 2 71 59 81 | 7
11 27 78 55 44 77 7 68 90 92 85 | 8
26 45 22 61 57 56 28 36 53 77 68 38 82 81 | 7
22 19 54 45 42 41 76 89 94 84 | 7
11 38 15 49 33 6 41 46 5 7 8 91 69 20 97 | 7
25 26 15 33 57 45 37 53 55 75 2 89 40 9 90 81 87 84 | 6
12 17 32 35 40 41 98 65 100 81 93 53 78 | 5
20 58 46 18 45 42 29 53 33 2 81 96 | 4
10 9 22 55 45 4 40 41 35 2 84 71 67 82 8 86 74 96 | 1
60 26 12 22 49 31 84 99 1 65 67 91 69 97 10 | 3
56 20 55 54 42 51 35 99 70 93 94 97 | 6
60 38 21 25 33 51 52 1 71 84 | 6
11 25 26 22 31 35 77 88 74 73 68 100 87 97 | 7
11 51 20 58 46 54 56 37 35 88 2 5 65 83 82 90 | 2
5 4 3 2 1 | 2
81 19 45 43 1 75 83 92 85 | 4
77 39 15 21 16 79 45 53 41 99 74 40 70 100 97 14 | 8
34 14 16 54 37 43 36 77 41 88 89 5 80 52 79 | 3
1 39 16 19 56 42 60 88 2 64 8 93 85 | 4
11 13 58 33 37 60 89 5 65 70 9 92 95 94 97 | 4
13 20 32 37 43 53 52 61 63 73 54 15 93 | 2
25 27 23 47 44 6 42 29 1 99 2 67 91 100 96 57 97 85 | 6
24 13 15 64 56 28 35 88 5 4 70 90 53 78 | 5
25 38 15 14 19 57 45 37 62 20 33 75 64 4 88 8 59 95 31 | 3
14 49 16 29 52 5 66 80 100 | 4
11 10 48 33 56 51 41 60 88 2 73 4 6 91 79 78 | 2
11 59 17 55 30 60 73 70 8 | 7
39 27 59 58 83 18 4 34 88 5 72 7 67 69 32 94 85 | 3
11 25 58 22 54 57 30 1 89 48 82 92 21 | 5
26 38 41 17 54 6 51 53 94 60 12 5 4 67 91 92 87 | 5
38 49 46 41 62 74 64 65 90 69 93 92 86 | 4
24 12 7 23 46 18 88 35 41 60 98 75 89 53 71 69 52 | 5
39 38 15 21 43 88 64 65 66 91 83 86 85 | 5
26 15 76 32 44 56 98 72 68 90 92 | 6
25 26 12 14 54 57 37 50 35 43 3 7 6 69 87 96 | 3
26 89 14 54 42 75 35 43 62 63 5 4 67 91 90 86 96 | 3
10 77 29 33 31 45 43 87 99 82 74 9 83 41 95 94 78 | 1
24 11 12 21 16 46 44 75 71 70 96 95 78 | 7
10 39 16 18 56 84 29 35 34 1 88 63 4 82 72 74 50 | 8
