5;7 -3 -10 4 2 8 -2 4 -5 -2
6;-4 3 -10 5 3 -7 -3 7 -6 3
3;-7 0 -45 34 -24 7
2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
14;43 -50 83 -61 51 -9 -70 75 11 -63 13 79 -28 97 22 -79 -18 -3 -48 71 -89 22 33 46 15 -59 7 88 -64 -84 83 10 -52 -61 -19 -27 -9 -61 -61 -79 -21 -83 -17 16 -17 -59 -27 -83 -34 16 -89 -26 59 -44 -7 64 43 85 76 -79 -42 77 -49 -40 39 -83 54 15 12 42 47 67 45 -82 -5 -55 -36 45 34 -50 6 -1 -70 9 55 27 61 -88 92 -82 -4 19 -48 -6
45;-3 61 72 71 -40 20 -96 16 -56 -62 -85 18 72 -11 35 9 -22 13 96 49 -71 -53 -59 -91 -82 -12 7 -46 -40 16 -24 -20 -34 61 96 -21 -63 -97 38 -26 52 -58 47 67 61 89 -10 -9 -80 66 30 -97 -56 -63 57 43 78 -69 -97 17 79 94 -12 -84 -39 19 17 -28 33 -21 -73 -70 58 -49 37 34 13 -37 63 -42 23 -12 82 -34 -88 61 70 14 -34 -89 -52 -57 5 79 98 -81 34 13 59
35;-28 -78 -44 -91 -92 28 -42 43 79 -7 -62 25 -4 -7 -76 -32 -94 36 62 -99 61 26 31 18 -11 17 94 54 22 -86 62 62 33 -5 -75 43 -4 -33 25 -64 -37 -7 -51 -9 71 -63 84 0 -80 45 29 26 45 -75 13 62 41 -46 -98 -61 -87 -85 42 -86 51 -31 -50 -90 80 59 79 -94 14 5 5 -8 41
45;37 19 83 92 -27 -57 17 91 -81 92 90 83 -18 91 72 -1 87 75 52 -95 0 -57 4 6 75 -44 -93 -15 51 -71 40 77 -77 -8 -72 4 54 89 -88 -36 16 75 -16 95 63 -23 36 -43 -62 -75 -22 53 63 -56 63 -1 19 43 -28 -13 -10 35 58 -21 23 27 -97 -98 43 68 59 -57 -18 -79 -91 88 78 85 -42 -61
36;-50 -17 -42 -84 -93 74 -6 -92 -64 32 -56 77 14 43 -28 -24 -20 -24 27 -27 12 28 -82 24 16 41 -17 26 13 -27 25 -74 93 -83 -73 -28 85 -32 20 -73 47 90 99 -30 3 -88 -92 11 12 -33 -8 83 13 8 -21 -51 74 -93 98 -48 -59 21 -57 53 1 28 99 -72 59 -43 35 4 -34 -73 -60 -44 -9 -17 33 -45 -30 -13 -37 -6 -49 66 11 -69 27
42;54 62 42 -28 44 59 -46 41 27 82 11 -19 94 -64 -50 -95 -63 31 50 95 75 76 35 77 53 -76 -4 67 76 12 -76 47 -9 -70 -6 -52 -39 33 48 -46 -43 58 -69 76 45 -77 -18 80 74 75 -20 -14 -23 43 29 -73 -44 -79 -35 69 97 87 47 15 27 15 63 1 19 44 -18 -85 46 17 43 50 19 12 59 26 -8 -23 -56 81 37 -33 90 -44 -80 -92 15 66 -78 -73
15;-55 -29 3 -77 -24 96 -18 84 -54 -41 -60 -75 -87 11 -22 7 -73 -51 -33 0 -51 -52
2;-77 -16 -45 29 -90 39 -79 43 8 86 60 25 59 88 52 49 -38 -43 -91 -49 58 45 -31 -77 11 -93 43 59 -2 -26 79 58 77 8 -10 79 12 17 55 -46 96 -23 27 29 55 -83 38 3 -37 -82 18 24 -31 -20 -4 91 7 36 78 -91 7 73 26 17 -29 15 98 -24 -89 40 -59 -55 6 89 47 73 49 46
28;13 29 -54 -19 38 -32 -99 68 87 60 -43 26 14 62 -63 -83 17 -34 -17 40 17 95 15 -4 -41 21 17 26 50 -79 -46 -28 -38 -89 11 33 -14 93 9 57 -62 61 40 21 -16
7;20 62 -82 14 -94 -1 -34 -82 -81 -25 -10 12 17 -43 14 13 -14 1 96 51 55 46 29 -65 -13 90 51 36 -40 -18 46 -23 -9 75 -58 77 -14 20 -27 -11 33 59 -50 52 61 -83 87 97 45 95 -3 48 76 -67 -92 -34 -20 11 13 -85 78 -94 -8 26 62 -33 -7 -18 -86 75 60 10 61 51
1;92 42 52 99 51 24 25 -61 57 -61 73 -98 52 79 89 -96 -70 43 -1 84 -47 -15 88 9 -76
