1,2,3,4;4,5,6
20,21,22;45,46,47
7,8,9;8,9,10,11,12
69,70,71,72,73,74,75;75,76,77,78,79,80,81,82,83
9,10,11;33,34,35
52,53,54,55,56,57,58,59;78,79,80,81,82,83
73,74,75,76,77,78,79,80,81,82;79,80,81,82,83,84,85,86,87,88,89,90
20,25,36,45,89;25,36,77,88,98
79,80,81,82,83,84,85,86,87,88,89;56,57,58,59,60,61,62,63,64,65,66
73,74,75,76,77,78,79,80,81,82,83,84,85;93,94,95,96,97,98,99,100,101,102,103
55,56,57,58,59,60,61,62,63,64;97,98,99,100,101
85,86,87,88,89;84,85,86,87,88,89,90,91,92
66,67,68,69,70;77,78,79,80,81
79,80,81,82,83,84,85;59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
85,86,87,88,89,90,91,92,93,94;55,56,57,58,59,60,61,62,63
77,78,79,80,81,82,83,84,85,86,87;72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
9,10,11;11,12,13
1,2,3,4;3,4,5,6
91,92,93,94,95,96,97,98,99,100,101,102,103;59,60,61,62,63,64,65,66
69,70,71,72,73,74,75,76,77,78,79,80,81,82;56,57,58,59,60,61,62,63,64,65
54,55,56,57,58,59,60,61,62,63,64,65,66,67;86,87,88,89,90,91,92,93,94
67,68,69,70,71;92,93,94,95,96,97,98,99,100,101,102,103
74,75,76,77,78,79,80,81,82,83,84,85;83,84,85,86,87,88,89,90,91,92
