(1,6), (6,7), (2,7), (9,1)
(4,1), (3,4), (0,5), (1,2)
(4,6), (5,5), (5,6), (4,5)
(3,7), (4,2), (6,0), (0,5)
(4,8), (1,5), (1,8), (4,5)
(5,6), (6,3), (2,5), (3,2)
(6,7), (3,5), (6,8), (0,4)
(6,8), (0,3), (3,9), (9,0)
(0,4), (0,7), (3,7), (3,4)
(0,2), (1,2), (1,1), (1,0)
(2,2), (2,2), (2,2), (2,2)
(0,5), (1,2), (4,3), (3,6)
(3,9), (3,1), (0,6), (6,8)
(3,2), (9,2), (4,0), (5,6)
(7,1), (7,4), (4,1), (4,4)
(7,1), (1,9), (5,6), (3,7)
(5,6), (5,2), (5,6), (5,3)
(6,7), (3,9), (4,4), (1,6)
(5,7), (9,3), (8,4), (2,6)
(4,5), (5,2), (0,4), (4,6)
(6,7), (5,1), (1,2), (2,7)
(7,4), (8,4), (8,5), (7,5)
(3,2), (3,2), (5,2), (3,4)
