5;0,1,2,3,0
20;0,1,10,3,2,4,5,7,6,8,11,9,15,12,13,4,16,18,17,14
48;7,10,25,29,43,22,21,36,2,24,44,28,13,45,34,18,30,27,19,38,33,39,26,23,12,35,0,14,16,37,46,3,5,11,41,29,20,8,1,17,31,42,15,32,9,40,6,4
33;23,10,19,9,20,18,17,8,0,26,25,5,29,22,12,14,3,16,31,24,13,7,28,11,1,15,30,27,2,6,31,21,4
39;25,33,23,7,28,18,9,15,21,0,30,17,36,16,34,24,27,35,5,26,32,12,31,29,22,6,11,1,14,4,37,10,19,8,2,20,13,3,6
49;21,37,26,14,43,24,28,4,34,6,42,16,44,20,12,35,9,26,22,31,8,15,40,39,5,7,46,41,36,30,38,32,1,13,0,45,47,2,29,18,27,17,25,10,11,3,23,19,33
17;8,10,14,13,4,12,1,13,9,3,0,2,5,7,11,6,15
35;3,27,5,12,10,7,24,21,0,16,19,26,13,30,32,8,1,23,22,4,11,25,18,20,28,17,33,15,14,31,9,29,6,5,2
46;10,27,8,32,29,37,2,43,22,0,35,19,15,42,40,4,13,25,21,34,23,1,20,33,14,44,36,18,16,3,41,12,9,38,24,7,5,26,6,17,28,11,39,31,25,30
35;8,0,1,13,30,21,10,6,33,20,27,23,2,18,31,5,28,14,26,16,15,3,4,17,12,32,24,25,7,9,22,9,19,29,11
31;26,17,9,15,13,3,29,0,0,23,27,28,6,16,12,14,10,8,5,2,19,4,22,11,1,25,21,7,24,20,18
19;15,16,1,5,6,9,0,8,10,7,17,11,2,3,4,12,10,13,14
14;11,4,3,10,1,7,6,8,0,6,9,12,5,2
50;0,1,2,3,4,5,6,10,7,8,9,11,12,13,14,15,17,19,16,18,20,21,22,23,24,25,27,28,29,30,26,31,32,34,35,36,12,33,37,45,38,39,40,41,42,43,44,46,48,47
45;9,26,43,30,23,8,1,41,25,42,38,14,32,3,13,35,27,20,19,36,22,39,40,33,12,24,28,17,18,4,22,31,37,29,11,34,10,0,16,5,6,7,15,2,21
10;0,6,8,4,7,1,2,3,5,4
28;23,11,15,20,19,13,18,8,16,1,9,15,26,4,2,14,22,6,0,12,5,17,21,3,24,25,10,7
3;0,1,1
47;26,11,20,4,22,18,33,3,25,38,2,6,32,31,1,37,5,28,19,15,30,14,35,21,45,7,10,24,27,40,29,39,9,34,20,0,17,8,41,12,16,36,44,13,43,42,23
26;14,23,17,16,22,18,0,11,8,4,13,6,2,7,15,21,20,1,12,19,9,3,10,15,5,24
46;27,42,23,41,8,4,28,32,15,26,29,17,18,11,31,40,24,20,1,19,14,10,43,21,37,30,2,39,7,44,12,34,5,13,16,3,0,25,22,36,35,29,9,6,33,38
15;0,2,6,4,5,11,7,8,9,9,10,12,13,1,3
