1,2,3,4,6;5
2,4,5,6,9,11,15;20
1,2,3,4;50
25,45,75,165,230,270,330,385,425,505;420
1,10,71,92,98,119,134,139,140,154;174
220,275,350,480,500,585;415
4,7,8,16,19,27,29,32,43,63,66,70,74,79,95,98,110,121,128,141,149,151,154,162,163,178,215;216
20,34,36,37,53,54,63,74,75,90,107,111,124,131,182,196;209
5,20,45,65,90,100,105,120,135,145,185,210,230,250,265,290,315,350;245
2,31,34,43,49,53,64,66,71;81
42,45,78,79,84,123,146,147,155,192,197;237
8,13,30,37,48,74,77,95,101,110,131,136,147,158,170,187,193,214,221,223,229,256,281;291
130,170,350,425,465,535;470
25,75,105,125,165,195,230,280,335,360;265
8,12,19,28,41,44,45,46,60,64,69,71,80,88,89,91;103
20,30,35,45,75,85,175,185,195,220,230,245,265,285,290,300,320,340,355;245
85,125,130,175,180,205,235,330,335,340,360,390,420,455,490,495,525;355
15,40,50,55,70,90,95,110,150,165,250,275;190
10,20,30,70,75,135,160,165,175,185,225,245,280,300,310,350,355,370,395;270
20,35,45,50,65,90,110,120,125,145,220,230,245,260,280,290,335,375,405,410,420,450,480,500,510,605,635,645,670,680;480
17,23,29,34,45,69,76,112,115,137,152,154,170,174;177
3,5,14,15,25,28,34,48,51,61,67,70,71,90,101,131,145,150,169,191,232,263,268,286;291
2,3,8,13,15,24,29,30,32,33,38,39,43,47,55,59,61,65,70,71,75,77,80;85
84,159,183,193,194,245,256,270,303,304,333,342,356;375
13,24,31,32,43,71,249,320,339,391,402,433,455;460
35,65,95,155,165,175,205,235,260,270,330,340,345,350,365,420,440,535;360
10,15,20,30,35,45,80,120,125,130,135,160,165,170,185,190,210,230,235,255,265,270,295,300,305,325,330,335,355,360;245
1,2,3,4,6;5
105,120,150,165,215,230,255,260,270,295,310,345,350,355,390,475,565;440
15,40,55,85,95,135,145,165,170,185,190,200,210,220,235,260,270,280,325,335,395,400,420,450,460;320
7,8,11,12,18,23,26,34,35,40,41,48,57,59,64,65,71,74,79,80,83,84,87,88,90;92
39,43,56,76,81,115,122,181,184,211;224
30,31,40,59,61,63,93,95,130,147,152;197
17,116,122,149,160,177,234,242,249,255,274,341,362;386
10,61,123,193,215;324
1,2,3,4;50
2,3,23,26,33,34,43,48,50,67,82,93,112,113,116,124,133,134,143,145;156
16,46,68,144,193,204,207,230,242,243;246
14,61,65,78,112,138,163,176,250,256,304,310,312,339,340,367,370,380;415
75,85,100,160,195,230,255,290,300,310,330,345,350,360,365,385,400,445,460;355
8,13,18,19,29,33,46,55,61,66,75,77,82;91
5,10,19,21,23,33,37,44,53,57,58,59,62,66,69,74;89
20,35,95,170,180,240,245,280,345,355,425,440;325
