11001111 11111111 01110111 00111100 10101101 11011111 01011011 11101110 01101110 11101101 10111110 01111111;89.
11011010 11101111 10111110 11111110 11111111 11111111 10110111 11111111 11111111 11111111 11110110 11111111;506.7549054
11101111 00000101 11110111 10111111 01111101 11111111 11111001 10111011 11111101 00111011 10110110 01010101;61.3
01100111 10000110 10111101 10110101 10011001 10101110 11101101 10111001 00111001 01111110 00110111 01010110;46.5860023
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100001;7.
11011001 11011001 01101011 11110111 11111100 01111001 11010010 00001101 00111101 11110111 01011101 11111110;981.0254
11111111 00111011 10110100 11001111 11111110 11111111 11111111 11111111 01111111 01110111 00111111 11011111;29984.
10111111 11111110 11111011 11111111 11111111 11111111 11111111 11111110 11110111 11111110 10111111 01111111;5.8189630556
11001101 11111110 10110111 11111111 11111111 11111111 11011111 01110111 11111010 11111111 11111111 10101110;8507.824769
11110011 11011101 01001101 10011011 10010011 10011100 01110111 01111111 01111110 01011110 11111111 11101111;425061.386
11111111 11101001 11110111 11111110 11101111 01100110 11111111 11110110 11111111 11111111 11010011 01110011;979.2445189
01110111 11010111 11111111 01000111 01110101 11001101 01111111 01110111 10011101 00111011 11111111 00011101;71793.5
10100111 11110100 11111111 11111111 11110110 11110111 11111111 11111111 10110110 11011111 11011101 11110001;54798.9
10111110 00011000 11100111 10001110 11111110 11111010 00110111 11011011 11011111 11111011 01011011 11111111;57.249
11101111 11011010 11111111 11010011 10101010 01000110 11110101 11001111 11000010 11100101 00001111 01100111;8.
11110011 01100000 01100110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14
11011000 11111111 01111100 00010110 11110111 11111110 11110011 11100111 10100111 11110111 10110010 11100100;3.
01011101 10111010 11111100 00111110 01101011 10011111 11011111 10110111 11111111 11110011 10101001 10111110;358388.494
11111111 10111111 10111111 11110111 11110111 11111010 11111111 11111110 11111111 11111111 10111111 01100101;865171991.3
11101110 11111011 11010111 01011111 11111111 11011110 10101111 11111111 00111111 11001011 11111111 11111011;1.692791
11100011 11111111 11111111 01110000 10011111 11101001 00111011 10011111 11001110 11110001 11110011 10111101;83.
00111011 01100101 11111111 11011000 11100001 11111101 11111010 10111010 11101001 01110100 11101110 10010100;8.
11000111 00111101 11111010 11111111 11110101 11111110 10111111 11111111 11110111 10110111 11011100 11010111;12.78585
11110111 11111101 11100100 11111111 11111111 11111101 11111111 11111111 11111111 11110111 11011101 10111110;1415.994
10111110 01111011 00110011 10110100 01111011 01000110 11110011 11001001 01111011 01111101 11111111 10110011;8.1203065
01110010 11111111 00111111 00110101 11011001 11111011 11101010 11111011 00011111 01000001 11011111 11001111;6690.7
01111100 01010111 10111101 11110101 11101111 11011011 11110111 00111000 01100111 10100110 10111101 01111111;423.
00011011 11011111 01101111 00111111 01111111 11100010 11110010 11011111 11111111 11110010 01110011 11110111;6.023645
10011010 01101111 11111011 01011011 01110011 00111111 11001111 11011001 01100101 00110111 01010001 11010011;4.
10110111 11011001 11010101 10111111 11011011 10111111 00001011 11110101 11010111 11110101 00001000 11111111;8.5
11111110 11110011 11111110 11111111 11011111 01111011 10111111 11111111 11110110 11111101 11111111 11111111;418721579066.
11010101 10110111 00111111 00011111 11111011 11110011 01101011 01101111 11011011 11101100 11110000 11110101;1.
10011110 00110100 11101101 11101101 11110110 11111111 11111111 11111111 11100110 11101011 11100111 11111110;3599.7713
11001111 00111110 11000011 11101111 00111111 11111111 01111111 01110000 01011100 11101110 01001000 10100110;8.9
11111101 11111100 10011011 01101111 00101111 11101110 01011111 11111110 11011011 01101101 11110011 11010111;82332.
11100101 11111111 11111111 10111111 11100111 11110011 11111110 11110111 10111111 11111111 11110111 11101001;8854389.694
11111000 01101101 11111011 11111111 01111110 11011011 00111111 01111010 11111011 11100111 10110101 11100011;789.259
10111111 10110111 10111110 11110110 11110110 11110010 11101111 11111110 11111110 01101001 11111111 11111111;5554537.9319
11111110 11111111 11111011 00110101 11011010 11110111 10111111 01111111 10100111 10110111 11111000 11101101;42.
