36 47 78 28 20 79 87 16 8 45 72 69 81 66 60 8 3 86 90 90 | 1
40 69 52 42 24 16 66 | 2
54 46 0 34 15 48 47 53 25 18 50 5 21 76 62 48 74 1 43 74 78 29 | 6
48 51 5 61 18 | 2
59 68 55 31 73 4 1 25 26 19 60 0 | 2
3 93 5 7 1 94 60 0 38 82 42 5 64 8 69 61 79 34 60 97 | 10
43 15 95 71 53 56 6 | 3
42 92 77 9 58 91 49 8 14 67 57 23 26 36 28 68 60 63 25 30 39 41 | 5
11 19 17 61 85 64 83 17 83 16 33 60 18 77 26 27 47 35 45 40 99 20 1 5 30 | 1
50 91 85 52 89 77 50 63 34 97 90 21 27 63 86 23 56 76 96 56 79 55 35 | 5
1 2 3 | 1000000000000
12 40 7 23 57 59 24 27 48 67 94 88 6 11 16 85 50 82 18 2 | 8
52 58 79 79 21 17 42 91 43 58 65 81 20 | 5
3 74 69 91 98 17 90 96 8 43 56 0 83 86 50 | 6
47 77 43 51 66 94 94 87 32 44 93 94 | 4
10 69 49 90 74 18 18 79 78 94 46 65 98 61 83 99 37 34 33 61 9 37 | 7
0 | 100
87 55 29 49 16 26 6 97 | 3
25 70 9 67 93 29 81 37 96 21 36 48 38 | 5
51 5 95 70 25 42 94 10 47 44 1 35 4 64 | 6
79 33 36 71 55 89 27 24 95 5 53 89 54 42 51 81 45 52 11 48 9 | 1
5 5 5 5 5 5 5 5 5 5 0 | 3
98 68 8 51 79 89 | 1
46 25 44 25 82 83 42 18 20 49 69 | 4
1 66 96 87 81 67 13 61 | 4
